sym,date,open,high,low,close,volume,pct
a,2020-06-02,20500,21499,19656,20880,174531135,22.82
a,2020-06-06,21606,21606,21606,21606,19143351,3.48
a,2020-06-07,22686,22686,22686,22686,22759238,5.0
a,2020-06-08,23820,23820,21552,22600,281182152,-0.38
a,2020-06-09,22350,24380,22101,23099,163586095,2.21
a,2020-06-10,23390,24559,23375,24559,90055056,6.32
a,2020-06-13,25590,25590,25590,25590,27322311,4.2
a,2020-06-14,25900,26200,24320,25300,224005086,-1.13
a,2020-06-15,24500,25650,23890,23890,194547293,-5.57
a,2020-06-16,23300,25510,23200,25510,195322735,6.78
a,2020-06-20,25950,25960,25500,25960,60510170,1.76
a,2020-06-21,27210,27210,26490,27210,118741448,4.82
a,2020-06-22,28490,28530,27250,28530,58693160,4.85
a,2020-06-23,29830,29830,29830,29830,10051356,4.56
a,2020-06-24,31320,31320,31320,31320,8857302,4.99
a,2020-06-28,32880,32880,32880,32880,67047928,4.98
a,2020-06-29,32880,34520,32880,34520,85902427,4.99
a,2020-06-30,35210,35210,35210,35210,4639788,2.0
a,2020-07-01,36970,36970,36970,36970,9405289,5.0
a,2020-07-04,38810,38810,37590,38810,137508280,4.98
a,2020-07-05,40690,40690,40690,40690,36207758,4.84
a,2020-07-06,42720,42720,42720,42720,18036772,4.99
a,2020-07-07,44850,44850,44850,44850,19747170,4.99
a,2020-07-08,47090,47090,42610,47070,297365032,4.95
a,2020-07-11,47000,49350,44650,49350,98938612,4.84
a,2020-07-12,50530,50530,50530,50530,8641830,2.39
a,2020-07-15,53050,53050,48010,49690,310650792,-1.66
a,2020-07-18,50140,50140,50140,50140,21624028,0.91
a,2020-07-19,47640,52640,47640,52640,266605671,4.99
a,2020-07-22,53800,54480,53200,54110,78564497,2.79
a,2020-07-25,56580,56580,56500,56580,66492181,4.56
a,2020-07-26,59400,59400,58810,59390,97433497,4.97
a,2020-07-27,56410,62330,56410,57600,240206530,-3.01
a,2020-07-28,58610,61400,55560,55560,168905318,-3.54
a,2020-07-29,54620,54620,54620,54620,10414458,-1.69
a,2020-08-01,51890,57350,51890,51920,149869545,-4.94
a,2020-08-02,51060,56420,51060,51060,169547261,-1.66
a,2020-08-03,51700,55000,49780,49780,107664287,-2.51
a,2020-08-04,49780,52560,47560,49050,151617226,-1.47
a,2020-08-05,51000,52140,49000,52140,114229175,6.3
a,2020-08-09,54490,54490,54400,54490,106848262,4.51
